book,formation_index,formation,play_index,play,man_slot,man_position,zone_slot,zone_position,boundary,rule,image
ARZ,25,Nickel,26,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ARZ-p026-f25.png
ARZ,25,Nickel,26,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ARZ-p026-f25.png
ATL,23,Nickel,28,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ATL-p028-f23.png
ATL,23,Nickel,28,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ATL-p028-f23.png
ATL,24,Dime,28,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ATL-p028-f24.png
ATL,24,Dime,28,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",ATL-p028-f24.png
BAL,25,3-4,14,Zone Double Steal,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 12 yards. FS starts with a zone landmark at X +15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BAL-p014-f25.png
BAL,25,3-4,14,Zone Double Steal,10,CB,8,SS,7,"CB (slot 10) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals SS (slot 8) and takes a zone at X -15, depth 12 yards. SS starts with a zone landmark at X -15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BAL-p014-f25.png
BAL,25,3-4,23,Combo Strong Zone,9,CB2,0,OLB2,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB2 (slot 0) and takes a zone at X +14, depth 18 yards. OLB2 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BAL-p023-f25.png
BUF,28,Nickel,23,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BUF-p023-f28.png
BUF,28,Nickel,23,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BUF-p023-f28.png
BUF,29,Dime,23,Combo Inside Zone,9,CB2,4,CB4,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals CB4 (slot 4) and takes a zone at X +15, depth 18 yards. CB4 starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BUF-p023-f29.png
BUF,29,Dime,23,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BUF-p023-f29.png
BUF,27,4-3,25,Open Cover 5,9,CB2,7,FS,7,"CB2 (slot 9) starts in man. When the receiver goes beyond the defender and reaches 15 yards downfield, it signals FS (slot 7) and takes a zone at X +15, depth 12 yards. FS starts with a zone landmark at X +15, depth 15 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",BUF-p025-f27.png
CAR,29,Nickel,14,Combo Inside Zone,9,CB2,4,OLB,13,"CB2 (slot 9) starts in man. When the receiver moves left past the defender and the midpoint between that defender and the game's reference player, it signals OLB (slot 4) and takes a zone at X +15, depth 18 yards. OLB starts with a zone landmark at X +8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CAR-p014-f29.png
CAR,29,Nickel,14,Combo Inside Zone,10,CB,6,CB3,14,"CB (slot 10) starts in man. When the receiver moves right past the defender and the midpoint between that defender and the game's reference player, it signals CB3 (slot 6) and takes a zone at X -15, depth 18 yards. CB3 starts with a zone landmark at X -8, depth 10 yards, then changes from zone to man. The receiver position is predicted 0.2 seconds ahead; live pickup remains native.",CAR-p014-f29.png
